"PMID","ncol","nrow","nwithbatch","deceased"
"15897565",63,22283,63,0
"16996261",54,30000,0,0
"17290060",117,22283,117,67
"18593951",195,22283,195,129
"18698038",285,54675,285,113
"19047114",83,16281,0,15
"19192944",157,37632,0,113
"19294737",80,22283,80,21
"19318476",42,22283,42,22
"19440550",103,22283,103,0
"19486012",53,22153,0,0
"19962670",63,54675,63,41
"20300634",110,41000,0,46
"20492709",140,54675,140,0
"20547991",28,54675,28,17
"20547991",42,12625,42,23
"21720365",261,20531,0,143
"21720365",554,799,0,286
"21720365",578,22277,577,290
"22101765",107,54675,107,76
"22241791",40,41093,0,22
"22241791",260,41093,0,121
"22348002",129,12449,0,73
"22348014",58,54675,58,36
"22492981",103,380,0,57
"22497737",204,32878,0,57
"23934190",60,54675,60,0
"24368280",172,20173,0,112
"PMID unknown",66,7129,66,0
"PMID unknown",204,54675,204,0
