col.name,var.class,uniqueness,requiredness,allowedvalues,description
sample_name,character,unique,required,*,primary sample identifier
alt_sample_name,character,unique,optional,*,"if another identifier is used, for example in supplemental tables"
unique_patient_ID,character,non-unique,optional,*,"Use this column if there are technical replicates.  If this column contains non-unique entries, expression values of those arrays will eventually be averaged."
sample_type,character,non-unique,required,tumor|metastatic|borderline|benign|adjacentnormal|healthy|cellline,"healthy should be only from individuals without cancer, adjacentnormal from individuals with cancer, metastatic for non-primary tumors, borderline includes both borderline and LMP tumors, benign for benign tumors."
histological_type,character,non-unique,optional,ser|endo|clearcell|mucinous|undifferentiated|other|mix,"ser=serous;endo=endometrioid;clearcell=mixture of ser+endo.  Other includes sarcomatoid, endometroid, papillary serous, unspecified adenocarcinoma, dysgerminoma"
primarysite,character,non-unique,optional,ov|ft|other,"ov=ovary;ft=fallopian tube"
arrayedsite,character,non-unique,optional,ov|ft|other,ov=ovary;"ft=fallopian tube"
summarygrade,character,non-unique,optional,low|high,"low = 1, 2, LMP.  High= 3,4,23"
summarystage,character,non-unique,optional,early|late,"early = 1,2, 12. late=3,4,23,34"
tumorstage,character,non-unique,optional,1|2|3|4,"Group Stage (I-IV, translated to 1-4 for R usage.).  If multiple stages given (eg 34), use the highest."
substage,character,non-unique,optional,a|b|c|d,"substage (abcd).  For cases like ab, bc, use highest given"
grade,integer,non-unique,optional,0|1|2|3|4,"G (0-4): If multiple given, ie 12, 23, use highest given"
age_at_initial_pathologic_diagnosis,integer,non-unique,optional,[1-9][0-9],"in years"
pltx,character,non-unique,optional,[yn],"patient treated with platin"
tax,character,non-unique,optional,[yn],"patient treated with taxol"
neo,character,non-unique,optional,[yn],"neoadjuvant treatment"
days_to_tumor_recurrence,numeric,non-unique,optional,decimal,"time to recurrence or last follow-up in days"
recurrence_status,character,non-unique,optional,recurrence|norecurrence,"recurrence censoring variable"
days_to_death,numeric,non-unique,optional,decimal,"time to death or last follow-up in days"
vital_status,character,non-unique,optional,living|deceased,"Overall survival censoring variable"
os_binary,character,non-unique,optional,short|long,"dichotomized overall survival variable (short, long)"
relapse_binary,character,non-unique,optional,short|long,"dichotomized relapse variable (short, long)"
site_of_tumor_first_recurrence,character,non-unique,optional,metastasis|locoregional|none|locoregional_plus_metastatic,"none for no recurrence, na for unknown"
primary_therapy_outcome_success,character,non-unique,optional,completeresponse|partialresponse|progressivedisease|stabledisease,"response to any kind of therapy"
debulking,character,non-unique,optional,optimal|suboptimal,"amount of residual disease (optimal = <1cm, suboptimal=>1cm)"
percent_normal_cells,character,non-unique,optional,\d+[+-]?,"estimated percentage of normal cells"
percent_stromal_cells,character,non-unique,optional,\d+[+-]?,"estimated percentage of stromal cells"
percent_tumor_cells,character,non-unique,optional,\d+[+-]?,"estimated percentage of tumor cells"
batch,character,non-unique,optional,*,"batch variable - hybridization date when Affymetrix CEL files are available"
flag,character,non-unique,optional,*,"Free-form flag to annotate the sample."
flag_notes,character,non-unique,optional,*,"Notes associated with the flag."
uncurated_author_metadata,character,non-unique,optional,*,"original uncurated data, with each field separated by ///."

